name,handedness,height,weight,avg,HR,BMI,Body_Size
Terry Crowley,L,72,180,0.25,42,24,Normal
Marv Breeding,R,72,175,0.25,7,24,Normal
Jim Pankovits,R,70,170,0.25,9,24,Normal
Joe Strain,R,70,169,0.25,1,24,Normal
Greg Pryor,R,72,180,0.25,14,24,Normal
Ruppert Jones,L,70,170,0.25,147,24,Normal
Rico Petrocelli,R,72,175,0.251,210,24,Normal
Benny Ayala,R,73,185,0.251,38,24,Normal
Jim Lefebvre,B,72,180,0.251,74,24,Normal
Mike de la Hoz,R,71,175,0.251,25,24,Normal
U L Washington,B,71,175,0.251,27,24,Normal
Barry Evans,R,73,180,0.251,2,24,Normal
Tim Foli,R,72,179,0.251,25,24,Normal
Jack Hiatt,R,74,190,0.251,22,24,Normal
Bobby Darwin,R,74,190,0.251,83,24,Normal
Jim Hickman,R,75,192,0.252,159,24,Normal
Mack Jones,L,73,180,0.252,133,24,Normal
Eddie Milner,L,71,173,0.253,42,24,Normal
Jerry White,B,70,164,0.253,21,24,Normal
John Lowenstein,L,72,175,0.253,116,24,Normal
Terry Harper,R,76,195,0.253,36,24,Normal
Ivan DeJesus,R,71,175,0.254,21,24,Normal
Rich Chiles,L,71,170,0.254,6,24,Normal
Pete Ward,L,73,185,0.254,98,24,Normal
Jimmie Hall,L,72,175,0.254,121,24,Normal
Tim Flannery,L,71,175,0.255,9,24,Normal
Ken Berry,R,72,175,0.255,58,24,Normal
Mike Shannon,R,75,195,0.255,68,24,Normal
Cito Gaston,R,75,190,0.256,91,24,Normal
Billy Conigliaro,R,72,180,0.256,40,24,Normal
Boots Day,L,69,160,0.256,8,24,Normal
Tom O'Malley,L,72,180,0.256,13,24,Normal
Rick Manning,L,73,180,0.257,56,24,Normal
Roy Smalley,B,73,185,0.257,163,24,Normal
Len Randle,B,70,169,0.257,27,24,Normal
Bob Bailey,R,73,180,0.257,189,24,Normal
Tommy Harper,R,69,165,0.257,146,24,Normal
Tom Haller,L,76,195,0.257,134,24,Normal
Rich Dauer,R,72,180,0.257,43,24,Normal
Bill Robinson,R,74,189,0.258,166,24,Normal
Jerry Hairston,B,70,170,0.258,30,24,Normal
Mike Andrews,R,75,195,0.258,66,24,Normal
Lou Johnson,R,71,170,0.258,48,24,Normal
Joe Lefebvre,L,70,170,0.258,31,24,Normal
Mike Cubbage,L,72,180,0.258,34,24,Normal
Joe Pepitone,L,74,185,0.258,219,24,Normal
Del Unser,L,73,180,0.258,87,24,Normal
Garth Iorg,R,71,170,0.258,20,24,Normal
Clint Hurdle,L,75,195,0.259,32,24,Normal
Doug DeCinces,R,74,190,0.259,237,24,Normal
Lee Mazzilli,B,73,180,0.259,93,24,Normal
Jim Morrison,R,71,175,0.26,112,24,Normal
Ken Reitz,R,72,180,0.26,68,24,Normal
Art Howe,R,74,190,0.26,43,24,Normal
Jim Dwyer,L,70,165,0.26,77,24,Normal
Jim Wohlford,R,71,175,0.26,21,24,Normal
Julio Gotay,R,72,180,0.26,6,24,Normal
Jason Thompson,L,76,200,0.261,208,24,Normal
Scot Thompson,L,75,195,0.262,5,24,Normal
Ted Sizemore,R,70,165,0.262,23,24,Normal
Joe Nolan,L,71,175,0.263,27,24,Normal
Bruce Boisclair,L,74,185,0.263,10,24,Normal
Larry Parrish,R,75,190,0.263,256,24,Normal
Al Gallagher,R,72,180,0.263,11,24,Normal
Richie Scheinblum,B,73,180,0.263,13,24,Normal
Ted Uhlaender,L,74,190,0.263,36,24,Normal
Bill Russell,R,72,175,0.263,46,24,Normal
